,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,dominant_topic
1,0.07,0.52,0.07,0.07,0.07,0.07,0.07,0.07,1
1,0.07,0.07,0.07,0.07,0.07,0.49,0.07,0.07,5
1,0.09,0.09,0.09,0.09,0.09,0.38,0.09,0.09,5
1,0.09,0.09,0.09,0.09,0.09,0.09,0.37,0.09,6
1,0.09,0.09,0.09,0.09,0.35,0.09,0.09,0.09,4
1,0.09,0.09,0.09,0.09,0.34,0.09,0.09,0.09,4
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.85,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.61,7
1,0.06,0.6,0.06,0.06,0.06,0.06,0.06,0.06,1
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
